home_team_name,away_team_name,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,stadium_name,Defence_line,Home_ground_effect,Tempo_home,Tempo,Transition_Defence_Attack,matches_played,matches_played_away,matches_played_home,wins,wins_away,wins_home,draws_away,draws_home,losses,losses_away,losses_home,points_per_game_away,points_per_game,points_per_game_home,league_position,league_position_away,league_position_home,performance_rank,Attack_goals,Defence_goals_conceded,goal_difference,total_goal_count_away,Attack_goals_away,total_goal_count_home,Attack_goals_home,Defence_goals_conceded_away,Defence_goals_conceded_home,clean_sheets,clean_sheets_away,clean_sheets_home,btts_count,btts_count_away,btts_count_home,corners_total,corners_total_home,corners_total_home,average_possession,average_possession_away,average_possession_home,shots,shots_away,shots_home,shots_on_target,shots_on_target_away,shots_on_target_home,fouls,fouls_home,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,Status_home_away
Brighton & Hove Albion,Arsenal,1.75,1.75,1.21,1.32,1,1,2,2,1,1,4,9,2,0,1,0,1,1,0,1,12,6,4,5,8,1,10,4,32,68,1.15,1.48,1.35,1.15,3.63,88,The American Express Community Stadium,High_Block,Positive,High,High,Medium,38,19,0,21,7,0,4,3,10,8,2,1.32,1.84,2.37,5,8,3,5,73,51,22,66,31,58,42,35,16,8,1,7,26,15,11,209,84,125,58,56,61,377,167,210,208,92,116,412,218,1.43,1.6,1.25,Draw_away
West Ham United,Arsenal,1.27,1.5,1.63,1.32,1,0,1,0,0,0,7,3,0,0,2,0,0,0,0,2,11,11,4,3,7,8,7,10,41,59,1.53,1.39,1.37,1.2,3.7,78,London Stadium,High_Block,Positive,High,High,Medium,38,19,0,21,7,0,4,3,10,8,2,1.32,1.84,2.37,5,8,3,5,73,51,22,66,31,58,42,35,16,8,1,7,26,15,11,209,84,125,58,56,61,377,167,210,208,92,116,412,218,1.43,1.6,1.25,Win_away
Manchester City,Arsenal,2.75,1.36,2.84,1.32,3,1,4,3,2,1,4,2,1,0,1,0,0,1,1,0,16,3,13,3,3,0,11,8,58,42,2.19,1.37,2.42,0.55,4.09,79,Etihad Stadium,High_Block,Positive,High,High,Medium,38,19,0,21,7,0,4,3,10,8,2,1.32,1.84,2.37,5,8,3,5,73,51,22,66,31,58,42,35,16,8,1,7,26,15,11,209,84,125,58,56,61,377,167,210,208,92,116,412,218,1.43,1.6,1.25,Win_away
Huddersfield Town,Arsenal,0.38,1.25,0.47,1.32,1,2,3,2,0,2,5,0,3,0,2,0,1,2,0,2,14,9,8,5,6,4,17,12,54,46,1.22,1.3,1.92,1.09,2.96,62,John Smith's Stadium,High_Block,Positive,High,High,Medium,38,19,0,21,7,0,4,3,10,8,2,1.32,1.84,2.37,5,8,3,5,73,51,22,66,31,58,42,35,16,8,1,7,26,15,11,209,84,125,58,56,61,377,167,210,208,92,116,412,218,1.43,1.6,1.25,Loss_away
Tottenham Hotspur,Arsenal,2.08,1.38,2,1.32,1,1,2,1,0,1,3,4,3,0,2,1,0,3,0,3,11,7,4,5,7,2,15,14,60,40,1.65,1.29,1.32,1.1,3.35,73,Wembley Stadium,High_Block,Positive,High,High,Medium,38,19,0,21,7,0,4,3,10,8,2,1.32,1.84,2.37,5,8,3,5,73,51,22,66,31,58,42,35,16,8,1,7,26,15,11,209,84,125,58,56,61,377,167,210,208,92,116,412,218,1.43,1.6,1.25,Draw_away
Everton,Arsenal,1.56,1.36,1.79,1.32,1,0,1,1,1,0,9,6,1,0,4,0,0,1,2,2,16,6,7,3,9,3,8,9,42,58,1.48,1.27,1.97,0.98,3.27,72,Goodison Park,High_Block,Positive,High,High,Medium,38,19,0,21,7,0,4,3,10,8,2,1.32,1.84,2.37,5,8,3,5,73,51,22,66,31,58,42,35,16,8,1,7,26,15,11,209,84,125,58,56,61,377,167,210,208,92,116,412,218,1.43,1.6,1.25,Win_away
Watford,Arsenal,1.73,1.27,1.42,1.32,0,1,1,1,0,1,6,4,2,1,0,0,1,2,0,0,7,12,4,6,3,6,12,8,34,66,1.34,1.25,1.07,1.61,3.24,74,Vicarage Road,High_Block,Positive,High,High,Medium,38,19,0,21,7,0,4,3,10,8,2,1.32,1.84,2.37,5,8,3,5,73,51,22,66,31,58,42,35,16,8,1,7,26,15,11,209,84,125,58,56,61,377,167,210,208,92,116,412,218,1.43,1.6,1.25,Loss_away
Wolverhampton Wanderers,Arsenal,1.65,1.38,1.79,1.32,3,1,4,3,3,0,5,5,2,0,3,0,1,1,3,0,9,6,4,2,5,4,12,9,29,71,1.46,1.28,1.01,1.03,3.02,61,Molineux Stadium,High_Block,Positive,High,High,Medium,38,19,0,21,7,0,4,3,10,8,2,1.32,1.84,2.37,5,8,3,5,73,51,22,66,31,58,42,35,16,8,1,7,26,15,11,209,84,125,58,56,61,377,167,210,208,92,116,412,218,1.43,1.6,1.25,Win_away
Leicester City,Arsenal,1.35,1.29,1.42,1.32,3,0,3,0,0,0,8,6,3,0,2,1,1,2,2,1,19,5,13,2,6,3,13,13,67,33,1.62,1.26,2.68,0.74,2.94,68,King Power Stadium,High_Block,Positive,High,High,Medium,38,19,0,21,7,0,4,3,10,8,2,1.32,1.84,2.37,5,8,3,5,73,51,22,66,31,58,42,35,16,8,1,7,26,15,11,209,84,125,58,56,61,377,167,210,208,92,116,412,218,1.43,1.6,1.25,Win_away
Burnley,Arsenal,1.28,1.22,1.21,1.32,1,3,4,0,0,0,4,5,5,0,1,0,3,2,0,1,12,11,6,7,6,4,11,3,39,61,1.24,1.23,1.57,1.63,3.17,67,Turf Moor,High_Block,Positive,High,High,Medium,38,19,0,21,7,0,4,3,10,8,2,1.32,1.84,2.37,5,8,3,5,73,51,22,66,31,58,42,35,16,8,1,7,26,15,11,209,84,125,58,56,61,377,167,210,208,92,116,412,218,1.43,1.6,1.25,Loss_away
